"","Well","count","G...R","O...R","pH","Area","logCa","Ca","Conc","cell_line"
"1","B02",1194,0.554235304862134,0.196390783387575,4.42725074984437,65.9782244556114,1.89391841211473,708.55949166304,"DMSO","L4992"
"2","B03",2936,0.46815054362481,0.202946481154958,4.25121723282607,72.1839237057221,2.253038276472,864.440869882753,"DMSO","L4992"
"3","B04",2088,0.525835276684875,0.237547283368325,4.40389833585351,60.8199233716475,2.18218143031108,721.198485548699,"DMSO","L3200"
"4","B05",4605,0.526690621052369,0.234734778918545,4.40290731175858,60.3908794788274,2.16716779486366,730.476057616004,"DMSO","L3200"
"5","C02",801,0.560007333634183,0.224190918496302,4.4537129634082,69.4282147315855,2.03614641745842,807.928619876897,"DMSO","L4992"
"6","C03",1209,0.505078171660585,0.203013959923103,4.31522180839868,72.9462365591398,2.17804502021336,998.080074986205,"DMSO","L4992"
"7","C04",2590,0.497758735320579,0.226973752335552,4.33611592936619,69.9208494208494,2.24350992943025,777.206943780308,"DMSO","L3200"
"8","C05",2334,0.514372778061496,0.213608656733678,4.35082160301273,74.0852613538989,2.12839776634846,756.044393375284,"DMSO","L3200"
"9","D02",331,0.598037138576759,0.228157013827562,4.53975230636435,80.3474320241692,1.88050326150698,749.907095874097,"100uM","L4992"
"10","D04",1027,0.553743235784344,0.249879158674061,4.46298800440111,76.0301850048685,2.14221386411069,774.270243004628,"100uM","L3200"
"11","D05",2644,0.555311628243735,0.272029046500407,4.46441895988677,74.2579425113464,2.25295659813975,866.14381379709,"100uM","L3200"
"12","E02",283,0.576662897572178,0.245897491534739,4.50167025653048,73.0565371024735,2.04533826175071,861.959116389161,"100uM","L4992"
"13","E03",170,0.574723604128129,0.236794584614194,4.50835810472794,97.1,1.98125074968873,572.441770663428,"100uM","L4992"
"14","E04",587,0.553745771712745,0.246424919770151,4.45410332160572,75.7700170357751,2.12434951534623,847.880637117809,"100uM","L3200"
"15","E05",2160,0.539570879178511,0.260900875322181,4.42913887717389,82.3986111111111,2.26588079871212,886.213204508085,"100uM","L3200"
"16","F02",471,0.590461810848215,0.240728115172484,4.52346108651826,92.6709129511677,2.00872025116412,817.105144322685,"100uM","L4992"
