"","Well","count","G...R","O...R","pH","Area","logCa","Ca","Conc","cell_line"
"1","B02",2508,0.105988424270676,0.07704395096242,4.60602578292123,91.9896331738437,1.986559648859,732.360017627194,"DMSO","L4992"
"2","B03",6630,0.110312540664264,0.0747836297103092,4.66357371180403,91.6277526395173,1.83670470685464,599.24292026385,"DMSO","L4992"
"3","B04",1153,0.115438126880958,0.0860073028696905,4.74064730137489,69.1448395490026,1.90376671069013,694.457955647849,"DMSO","L3200"
"4","B05",2523,0.115570324075741,0.0848640053727422,4.7517332620758,66.1232659532303,1.8650908096728,740.664814057351,"DMSO","L3200"
"5","C02",1461,0.104017609451312,0.0787279782226305,4.5716193207476,91.2826830937714,2.05054907050154,773.312000152602,"DMSO","L4992"
"6","C03",3760,0.103715974586941,0.0754104151012876,4.56677642201583,96.8585106382979,2.01003265758894,687.1120669645,"DMSO","L4992"
"7","C04",3135,0.111798751489666,0.0799751375931608,4.69546113833964,86.9186602870813,1.89220853879449,723.838352462419,"DMSO","L3200"
"8","C05",6885,0.102769738155702,0.0707300577375014,4.55666883671031,95.1925925925926,1.9458445506205,666.409597580839,"DMSO","L3200"
"9","D02",825,0.0907511791643713,0.0798156162339708,4.39329035770386,144.42303030303,2.40671405828346,1316.50268838106,"100uM","L4992"
"10","D04",1478,0.100898082752094,0.0824715923641229,4.53301874665199,114.266576454668,2.20352375267602,972.035506153559,"100uM","L3200"
"11","D05",2328,0.105436837033115,0.086026396806975,4.59995650577223,97.076030927835,2.15567728296111,994.12159314037,"100uM","L3200"
"12","E02",488,0.0927764916067205,0.0812572336480473,4.42365507632186,132.553278688525,2.38197335009109,1249.80794796164,"100uM","L4992"
"13","E03",280,0.091701296968907,0.0790285121658055,4.40759786477105,142.414285714286,2.39276908049143,1217.26259166361,"100uM","L4992"
"14","E04",1094,0.0977429335329086,0.0782654811468921,4.48872293405963,130.45521023766,2.20518960506214,1055.91259539341,"100uM","L3200"
"15","E05",2813,0.103555508492299,0.0817360322958007,4.57030809169452,112.891930323498,2.1268976071606,945.19701835979,"100uM","L3200"
"16","F02",980,0.0946747874038728,0.0818225605060573,4.44781558980836,142.407142857143,2.34737690819674,1320.27775798754,"100uM","L4992"
